ts_code,name,industry,adx_mean,trend_consistency,price_efficiency,liquidity_score,momentum_3m,momentum_12m,excess_return_20d,excess_return_60d,trend_quality,volume_trend,idr,final_score,volatility,return_dd_ratio,annual_return,max_drawdown
515000.SH,科技ETF,科技,21.59614837961305,0.2585253456221198,0.4316995678272626,0.6909379569109921,-0.023530969112806388,-0.01186333179354948,-0.025178029637933586,-0.033360574644780705,0.29959025356354235,1.0864700116483186,-0.09246222068140582,0.19783616692426584,0.42954866100808853,,,
562500.SH,机器人ETF,其他,21.070542404084172,0.26630824372759854,0.40585814139056686,0.651797557061531,-0.08355982459326339,0.07115782946747684,-0.06428990061158679,-0.10909580617662273,0.2988796045105136,1.046195023889625,-0.26328823653567635,0.19629057187017002,0.4344200853969923,,,
516050.SH,科技龙头ETF,科技,22.09737289063444,0.27598566308243727,0.44041520782589966,0.6322763721877376,-0.016327069720313392,1.3688225466435e-06,-0.022746443051113396,-0.02910158941191021,0.29855564691295805,1.0839660751335294,-0.07622275356761977,0.1947449768160742,0.4292174514780095,,,
513380.SH,恒生科技ETF龙头,科技,17.46338309663623,0.34101382488479265,0.3683693084567524,0.6495295864960599,-0.11029641303405979,-0.20017885843773808,-0.0684787400693978,-0.05656150677424088,0.29648694920115176,1.0613300441015237,-0.10036657346557816,0.19319938176197837,0.612227036736442,,,
588460.SH,科创50增强ETF,其他,35.411092355121916,0.31341525857654895,0.44349272625757763,0.6643312970416988,-0.02204974553268868,,-0.030665663982984093,-0.06401753916454245,0.29641766443126,0.9888466980142842,-0.1891278298469142,0.19165378670788252,0.3854637905089164,,,
560100.SH,中证500增强ETF,其他,19.465127915846015,0.3610343061955965,0.37677247687635496,0.6048060021190164,-0.07206869299854812,-0.13102972196919294,-0.03595187558089186,-0.0782304668183268,0.2960252107059808,1.4348236440889441,-0.3162886454778449,0.1901081916537867,0.23693960429801675,,,
159869.SZ,游戏ETF,其他,27.924122184704576,0.3278545826932924,0.43845362110010844,0.6923595165666521,-0.08623338715642404,0.8264494295218756,-0.1795659678346364,-0.12281413826901433,0.29597006932466774,1.4016565670578693,-0.14885238589213248,0.18856259659969088,0.9302714114413009,,,
159835.SZ,创新药50ETF,其他,21.1582738713309,0.30071684587813624,0.45443577896068044,0.47427030808531156,-0.0030936681286340972,-0.22357512710043725,-0.1133763938612391,-0.04493813689599413,0.29386001679571816,0.6979410671651876,-0.10138771402919043,0.18701700154559506,0.4144932822107046,,,
159825.SZ,农业ETF,其他,23.88063157362477,0.32437275985663083,0.43211542849448825,0.6148526123238149,-0.02923455050454593,-0.29890043628691976,5.345811271428857e-07,0.005457039079979076,0.2936785284245906,0.7668206027054076,0.01687541059451835,0.18547140649149924,0.29253055680122353,,,
588160.SH,科创材料ETF,其他,24.94237693046913,0.3369175627240143,0.383055016429578,0.6179803695208442,-0.06825742321297457,-0.5080846206124102,-0.05186476420352437,-0.07895109766929143,0.2933030394836072,0.991899749331494,-0.17346500773262086,0.1839258114374034,0.4015697708419431,,,
159670.SZ,消费ETF基金,消费,31.85951195137154,0.26139272913466466,,0.6037706280596411,-0.12512538204685286,,-0.008860738732145546,-0.09326294818022196,0.29325449193631303,1.2153422275458519,-0.28557089365626465,0.18238021638330756,0.34225664848511556,,,
515260.SH,电子ETF,其他,20.95169809126443,0.2533026113671275,0.4366195782434206,0.6233163685847836,0.011561550492132033,5.565799638951319e-06,-0.030788462569158237,-0.011362360291398477,0.29290775023433996,0.9313312715598486,-0.0279636978560409,0.18083462132921174,0.4533219537973269,,,
159725.SZ,线上消费ETF,消费,26.78693428159364,0.3870455709165387,0.46576047927292064,0.4653833666323891,-0.0945537810786985,0.11682215948929153,-0.16778554969767778,-0.1207803602861387,0.2923020318036335,1.5134325182902084,-0.16555104156047099,0.17928902627511592,0.6762210538538913,,,
513220.SH,中概互联ETF,其他,19.31010806496597,0.3369175627240143,0.4002712764002918,0.6050519930269752,-0.06042301406283501,-0.19547595232536752,-0.058284153172677655,-0.027554155522321433,0.29206100139210384,0.9220902611705774,-0.05424979862983771,0.1777434312210201,0.584259675187598,,,
159795.SZ,智能汽车ETF基金,制造,20.579415756286174,0.37403993855606754,0.3956562361222281,0.6070978128357556,0.007371639034538191,0.09139106645388484,-0.0910687589081044,-0.009712667991151003,0.291837849310557,1.0206435747304823,-0.0235067127736763,0.17619783616692428,0.4679518449991474,,,
588260.SH,科创信息ETF,其他,21.75270972606844,0.3955965181771633,0.43007781626917885,0.6502635195154831,-0.032702654712196244,0.04275102823803234,-0.08144471029236333,-0.058447466226298705,0.29132745942708604,0.9661020793483109,-0.14504220423476627,0.17465224111282843,0.5307434350307964,,,
159811.SZ,5G50ETF,科技,21.459585725037993,0.35627240143369177,0.45404141631216466,0.5952748428980335,-0.0040228627580768395,0.33095598761480893,0.030973465196314498,-0.008023225690447111,0.2912981661131518,0.8979034508754343,-0.019662780088367207,0.1731066460587326,0.5149904893437718,,,
159930.SZ,能源ETF,其他,19.801068629444714,0.43497183819764473,0.41887596674333527,0.5871375583782829,-0.04327044230490462,0.28375807810731346,0.001598662767077208,-0.029673247427868588,0.29071769791167684,0.8103088180031939,-0.09311776827623534,0.17156105100463678,0.37829948720926604,,,
588320.SH,双创50ETF增强,其他,32.26327438490479,0.2723502304147466,0.36812571798695026,0.4216006308521153,-0.03940609386060012,,-0.022455640094835916,-0.04416734994857363,0.2904609114567855,1.230923412952518,-0.12132067601666333,0.17001545595054096,0.32915762093399104,,,
516000.SH,数据ETF,其他,27.15294718701346,0.38960573476702515,0.43010613213944054,0.5657363139881971,-0.11901718490499158,0.02303021590812948,-0.09568126172182012,-0.14743399504012977,0.29000320418491926,1.3446729731064675,-0.2807396786165674,0.16846986089644514,0.6475617803874644,,,
159695.SZ,通信ETF,科技,28.04967672784229,0.2604710701484895,,0.5200294547588307,-0.0903251496941998,,-0.022785525325973555,-0.10833789741036914,0.2896729844403958,1.1620269185360095,-0.27142371991060604,0.16692426584234932,0.5002636202903825,,,
159939.SZ,信息技术ETF,其他,22.338123062151734,0.3558115719406042,0.35870739459295303,0.6568387423119271,-0.00759186006869661,-0.5000037878008488,-0.054882903961067764,-0.0298509587814485,0.28918409611728174,0.9378008414228538,-0.07130368411617348,0.16537867078825347,0.7182100582843114,,,
513890.SH,恒生科技HKETF,科技,18.014375002846858,0.3128008192524322,0.41959639725102077,0.642363759918049,-0.10005785230878694,-0.16762389918984266,-0.056981641350615564,-0.046989075930321644,0.28900476578778417,0.9723491452120329,-0.08577652151067815,0.16383307573415765,0.5879801485288028,,,
159888.SZ,智能车ETF,其他,20.936059509410118,0.3421402969790067,0.42219983031317887,0.6712580564912012,0.016934354118429695,0.12568217481071509,-0.08047714873862943,-0.0020840031234392598,0.288481628809878,1.0224671365990199,-0.004769193933109328,0.16228748068006182,0.48726730433412063,,,
513280.SH,恒生生物科技ETF,科技,20.671920049184557,0.2793138760880697,0.4692016748167614,0.5894339490185494,-0.00515608459154393,-0.4024754574773317,-0.15917941147269543,-0.012813357315697105,0.2875178186732508,1.0366872993368137,-0.019485718641139203,0.160741885625966,0.586244732021551,,,
588010.SH,科创新材料ETF,其他,25.243533602941366,0.2954941116231439,0.38854274138751205,0.6186766391952362,-0.07145464541695912,-0.5194831744816091,-0.057790791778648876,-0.08217362296969177,0.28586568216703995,0.9727365862266035,-0.183311019866781,0.15919629057187018,0.40002875570632423,,,
510660.SH,医药卫生ETF,医药,20.77790107060404,0.30547875064004104,0.4808675764939005,0.5179978537693228,-0.04230938638828419,-0.20065359057557397,-0.09297000717877912,-0.07305199319291278,0.2849402066106368,1.018050196382525,-0.2051176450727231,0.15765069551777433,0.35381433320683553,,,
516520.SH,智能驾驶ETF,其他,22.917227955354843,0.35944700460829493,0.41508398813233116,0.6281390796943394,0.013126822151390938,0.14123633366333932,-0.08515286458620486,0.002168296306273909,0.2844981948140963,0.9715713047943009,0.004868908289973272,0.1561051004636785,0.48157468968328254,,,
159967.SZ,创业板成长ETF,其他,23.413031456328962,0.20317460317460317,0.5022564635185476,0.6217745865011326,-0.08506800177916762,-0.44482966153531456,-0.01886773053822921,-0.10159039063506636,0.28428334893550894,1.090460501200038,-0.24319226547762138,0.1545595054095827,0.3837990883427683,,,
159678.SZ,中证500增强ETF,其他,29.69966250092682,0.29964157706093186,0.3612562977388136,0.5788197637962142,-0.0621832148221354,,-0.013361348700886233,-0.07030235433619192,0.2827717923983099,0.9132416562340386,-0.29481627001733346,0.15301391035548687,0.2526649055794924,,,
515400.SH,大数据ETF,其他,25.617353903601934,0.3738863287250384,0.42953011086546417,0.6632798415194772,-0.12269151052995853,0.03539641229517643,-0.0982151867063974,-0.137752617983543,0.2826335118814895,0.9857814844353484,-0.2540214160463728,0.15146831530139104,0.6668199963515092,,,
159606.SZ,中证500成长ETF,其他,22.51195031236011,0.24459805427547363,0.45108895523879833,0.5858902460111275,-0.05068622452978144,-0.21195281133409039,-0.013045379185488648,-0.06514227110162629,0.2825486388021817,0.9011512072120884,-0.25549755630632,0.14992272024729522,0.25079450218652277,,,
516860.SH,金融科技ETF,科技,22.82026747404797,0.40798771121351773,0.41601257140835896,0.6176108727033176,-0.031659814314888735,0.16498916570711342,-0.08498147611035733,-0.05789842131332934,0.2814857037678158,1.0053964241066202,-0.12486530276764646,0.14837712519319937,0.5824976517662376,,,
516560.SH,养老ETF,其他,18.7724455035894,0.3581669226830517,0.4342278566513716,0.5091019437885063,-0.0543763669402606,-0.18200823034501568,-0.08894651592405456,-0.049618529991623084,0.27751395620806946,0.8627441912541439,-0.16558546923989037,0.14683153013910355,0.2788751671405965,,,
159945.SZ,能源ETF广发,其他,18.901825300311693,0.3856118791602663,0.4354302524991761,0.5418681651959254,-0.03552612216523965,0.1685476805225219,-0.0019181318851408946,-0.02636213800502496,0.27747802455758114,0.5051699431522989,-0.09362539284168694,0.14528593508500773,0.34663757484020974,,,
588100.SH,科创信息技术ETF,其他,21.17712614223345,0.37480798771121354,0.4256084031230417,0.6435965417524796,-0.028801893146664148,0.05945050411417241,-0.0758623344382906,-0.05637857013940817,0.2769680563099639,0.9338554774054147,-0.13321788718001887,0.1437403400309119,0.5353050927639881,,,
516300.SH,中证1000ETF华泰柏瑞,其他,25.440972398354962,0.3926267281105991,0.4058257854005275,0.6734096767590296,-0.03415140943578643,-0.13673737092583738,-0.06843868930569741,-0.051526961168177454,0.27446532463253087,1.189162124037451,-0.16176692672922988,0.14219474497681608,0.281463324290982,,,
561560.SH,电力ETF,其他,19.20246384790458,0.3486431131592422,0.44668769028992583,0.6451932021225444,-0.015022158881748737,0.06784498533229888,0.005723182148686279,-0.007552486648477519,0.2733602159036123,0.83999204427755,-0.03418107776816141,0.14064914992272023,0.27920462650066963,,,
159851.SZ,金融科技ETF,科技,19.012334765935126,0.3519713261648745,0.45524519276688513,0.6266248056580166,-0.027258555284906283,0.1015521265996353,-0.08017480621459605,-0.046546151766441723,0.27326029398418783,1.0099307090638283,-0.0958006298037336,0.1391035548686244,0.6154603650452916,,,
159837.SZ,生物科技ETF,科技,22.050521773977948,0.28899129544290836,0.5289642888175565,0.6189278365692883,0.030707299987533965,-0.21349048732324583,-0.11633247180459527,0.015178943117299948,0.27293795553799094,0.8543718091412115,0.03803254988449661,0.1375579598145286,0.39640901495307357,,,
513950.SH,恒生红利ETF,其他,29.066250989308976,0.2827956989247312,,0.534289253523292,-0.026903951753485367,,0.03721766457900699,-0.010463588296628856,0.2725132374386309,1.149146779069693,-0.03444203600283728,0.13601236476043277,0.30990525997176266,,,
159607.SZ,中概互联网ETF,科技,16.67618826966521,0.30343061955965184,0.45111362950404327,0.675961346014303,-0.04464205114018882,-0.18044810328538508,-0.052210192629668195,-0.0027112430826833345,0.27217333845926717,0.9894919964451401,-0.004732239680979571,0.13446676970633695,0.6340826197624028,,,
516790.SH,医疗ETF华泰柏瑞,医药,23.473860995293034,0.3351766513056836,0.47924903654719625,0.4931273438725963,-0.04153929157996683,-0.2991321201577424,-0.06688954195226471,-0.032859010706195235,0.27201651259063336,0.7068802811187569,-0.09223349657501784,0.13292117465224113,0.3259947971227147,,,
159732.SZ,消费电子ETF,消费,20.480282599908428,0.37834101382488483,0.36876493984656133,0.6285044357132237,0.1297215618969152,0.1331935480023212,0.017543773442226795,0.1024997683356712,0.2717701648704907,0.8666191487951053,0.21604885389956235,0.13137557959814528,0.4789268263298442,,,
562930.SH,软件ETF易方达,科技,38.77448314054685,0.39800307219662057,,0.5105460539360558,-0.12583587761725668,,-0.06490299237199015,-0.14066067764898393,0.2714922037706103,1.4345167380572303,-0.2884478437030177,0.12982998454404945,0.5502445511449247,,,
161631.SZ,人工智能LOF,科技,23.915694908431558,0.312647209421403,0.4922537019774286,0.460843794043293,-0.033987904021891335,0.16392586200349113,-0.04182877046644495,-0.05873744723571239,0.2701199827562402,0.8771340130163005,-0.1371670919824912,0.12828438948995363,0.5222964733488556,,,
159994.SZ,5GETF,科技,21.982609395934748,0.2818740399385561,0.49201001726328886,0.6000527222886226,3.6772715927835264e-06,0.288539005109941,0.013362071539415599,-0.023387888410668634,0.2692911336213664,0.8958331459266351,-0.04935651262495073,0.1267387944358578,0.5527782495521976,,,
515880.SH,通信ETF,科技,24.482747032935517,0.1620583717357911,0.4762547538576974,0.6526475274403652,-0.10504369146111736,0.5408186716439327,-0.015296043379841695,-0.1430887952424118,0.268261283558001,1.0470301174837058,-0.27282357569462734,0.125193199381762,0.6580619199630022,,,
561310.SH,消电ETF,其他,19.18560824755641,0.273783922171019,0.3958431607416905,0.5437011929711139,0.045009985884955306,-0.027417971063302238,0.0031175897317894385,0.028592450325199525,0.26680634636335204,0.6828999461924047,0.0675277516193238,0.12364760432766615,0.45622136620792314,,,
159623.SZ,成渝经济圈ETF,其他,21.724660123557555,0.2894521249359959,0.3684922822769331,0.5145263351133726,-0.055579789896292864,-0.21494296142534508,-0.06019160432681614,-0.06704773304925626,0.26497702184460487,1.1597560282471568,-0.20692088986164858,0.12210200927357033,0.30764986267164723,,,
159883.SZ,医疗器械ETF,医药,21.420437164267845,0.23727598566308247,0.43611287589438497,0.5061823484547587,0.014336065361770789,-0.2741601869750876,-0.05766390005225197,0.021619923065182123,0.2644536133109926,0.8760374830110305,0.057911774774017245,0.1205564142194745,0.33792209342601043,,,
516630.SH,云计算50ETF,其他,26.569747497381584,0.32882744495647726,0.4599152536391055,0.6013157422079214,-0.10323166998021482,0.27775690596959834,-0.06191559420757886,-0.12379279560358303,0.26443420580574245,1.1137852095872156,-0.22400690063239154,0.11901081916537867,0.7041468412533607,,,
159625.SZ,绿色电力ETF,其他,18.89616537439509,0.28361495135688686,0.4301076550949011,0.6541091124771578,-0.009677966478758293,-0.03047283437209969,0.007843525666068496,-0.011595685533691169,0.2642396913987697,0.9677783301864757,-0.055961012439757936,0.11746522411128284,0.24021263921995215,,,
159669.SZ,绿电ETF,其他,24.392783915152084,0.3113671274961598,0.40456935915235903,0.6330618033558919,-0.010520067405560551,,0.008538082158838778,-0.012603970357457306,0.263887096650269,1.208382167770603,-0.06469166903582035,0.11591962905718702,0.21570983253969625,,,
512100.SH,中证1000ETF,其他,24.00001056551634,0.3356374807987711,0.428310552600738,0.7295922475118175,-0.042405223377816714,-0.17266229628586638,-0.07547246467651758,-0.06030747333060105,0.26351696545121667,0.953665246198734,-0.18660313234199258,0.1143740340030912,0.2941764771489027,,,
516700.SH,大数据产业ETF,其他,24.779934183993984,0.351510496671787,0.3893994241631906,0.544566502653834,-0.11248591322261514,-0.16745149454652686,-0.09112630168056446,-0.13512251486465232,0.2633506625249649,0.8031938279133752,-0.261531423165179,0.11282843894899536,0.6740631066448844,,,
159877.SZ,医疗ETF南方,医药,22.337851405709085,0.35263696876600104,0.436402498603311,0.5153992727795841,-0.048668751340360195,-0.31977771819169554,-0.0730095347381875,-0.0431304341953922,0.26323672596660597,1.1774707697779783,-0.11781407138755498,0.11128284389489954,0.33341395671921015,,,
159616.SZ,农牧ETF,其他,27.404983521450003,0.3250384024577573,0.4424247263881322,0.56649788521691,-0.06813069953558326,-0.3793502327970726,-0.013671672432465032,-0.04018336008272161,0.26270202465782583,1.3126255959452693,-0.14869213783217272,0.10973724884080371,0.26351363010678186,,,
560010.SH,中证1000ETF指数,其他,23.82797854405402,0.34039938556067595,0.42227915151692896,0.7147874428258227,-0.040135873904221575,-0.17810531178182953,-0.06886183640706567,-0.05427411212986033,0.26235170145723524,1.0468356361219047,-0.16618611887479123,0.10819165378670788,0.2914334479525026,,,
561590.SH,中证1000增强ETF,其他,25.343368696702875,0.32995391705069127,0.3868292886826049,0.6139617651295786,-0.04828673303269082,-0.09690842387173249,-0.03808997804310443,-0.07210443099573527,0.2621366919972224,1.0728362225685224,-0.2311400526865654,0.10664605873261206,0.29899132069103057,,,
159728.SZ,在线消费ETF,消费,27.232634155583543,0.3548387096774194,0.42336661751119387,0.5423549656770681,-0.056468774614098494,0.19649357716435767,-0.1260772456178162,-0.09458731440079893,0.261617262911193,1.399722739921024,-0.16350123779767084,0.10510046367851623,0.6566391019421292,,,
561700.SH,电力ETF基金,其他,21.10466307493955,0.30373783922171027,0.4635993896225922,0.5781955676678071,-0.017132357340075677,0.033341378316398274,0.004351191543157107,-0.010760601478156828,0.2585115575312506,0.7994526475253995,-0.04927913270266195,0.1035548686244204,0.27767243988555823,,,
