strategy,ts_code,params,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration
base,561160.SH,"n1=10, n2=20",136.0631393200001,1.1552065625643393,-23.502655396074868,50.0,20,34 days
trailing_stop,561160.SH,trailing_stop_pct=0.03,16.191744519999975,0.5304665413846938,-16.799996579999966,36.36363636363637,11,15 days
trailing_stop,561160.SH,trailing_stop_pct=0.05,85.18946074000003,1.1821333830606962,-18.8254720279042,60.0,10,31 days
trailing_stop,561160.SH,trailing_stop_pct=0.07,81.23016354000004,1.1309138318007557,-19.625689456081254,50.0,10,31 days
loss_protection,561160.SH,"max_losses=2, pause_bars=5",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=2, pause_bars=10",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=2, pause_bars=15",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=3, pause_bars=5",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=3, pause_bars=10",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=3, pause_bars=15",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=4, pause_bars=5",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=4, pause_bars=10",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
loss_protection,561160.SH,"max_losses=4, pause_bars=15",110.1092803600001,1.2103717552796571,-15.036711740323828,50.0,10,38 days
combined,561160.SH,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",85.18946074000003,1.1821333830606962,-18.8254720279042,60.0,10,31 days
base,516160.SH,"n1=10, n2=20",518.3099835400001,0.22728144405237274,-15.402269579005656,58.82352941176471,17,40 days
trailing_stop,516160.SH,trailing_stop_pct=0.03,419.59570498000005,0.21769133680778252,-10.984757582291948,66.66666666666666,9,29 days
trailing_stop,516160.SH,trailing_stop_pct=0.05,417.74589208,0.21704571791376556,-11.478056389563552,55.55555555555556,9,34 days
trailing_stop,516160.SH,trailing_stop_pct=0.07,407.57565776000007,0.2153187739923482,-15.382774790577947,55.55555555555556,9,35 days
loss_protection,516160.SH,"max_losses=2, pause_bars=5",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=2, pause_bars=10",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=2, pause_bars=15",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=3, pause_bars=5",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=3, pause_bars=10",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=3, pause_bars=15",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=4, pause_bars=5",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=4, pause_bars=10",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
loss_protection,516160.SH,"max_losses=4, pause_bars=15",430.2089519600001,0.221855594801911,-15.369623184326631,62.5,8,50 days
combined,516160.SH,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",417.74589208,0.21704571791376556,-11.478056389563552,55.55555555555556,9,34 days
base,159566.SZ,"n1=10, n2=20",56.66333501999997,0.8020498609571833,-20.203234815819137,41.17647058823529,17,35 days
trailing_stop,159566.SZ,trailing_stop_pct=0.03,-14.00449696000007,-1.173479512012938,-17.108678360000063,11.11111111111111,9,11 days
trailing_stop,159566.SZ,trailing_stop_pct=0.05,65.14261133999993,1.1954203653150157,-13.899653701755932,37.5,8,35 days
trailing_stop,159566.SZ,trailing_stop_pct=0.07,62.41253569999995,1.1616992379880913,-16.833665838962997,37.5,8,36 days
loss_protection,159566.SZ,"max_losses=2, pause_bars=5",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
