ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
561160.SH,combined,130.8673226000001,1.2388067892857193,-20.671778592610924,50.0,20,28 days 00:00:00,76.95473251028807,10,38,12,2,5,0.05
516160.SH,combined,475.22476409999996,0.22443260516963337,-17.200897843880057,45.83333333333333,24,23 days 00:00:00,76.13168724279835,20,36,6,2,5,0.05
159566.SZ,combined,88.29629292000001,1.1611843649741058,-16.29328639070482,47.368421052631575,19,25 days 00:00:00,76.90476190476191,18,36,12,2,5,0.05
159783.SZ,combined,110.48756158000008,1.139692058147331,-15.880857195249288,53.333333333333336,15,33 days 00:00:00,69.54732510288066,16,30,14,2,5,0.05
159715.SZ,combined,27.626647719999852,0.4783810985754389,-16.967462629563002,39.285714285714285,28,19 days 00:00:00,75.51440329218107,8,36,14,2,5,0.05
588170.SH,combined,0.9057260599999608,0.05558160352074327,-14.798449646242318,55.55555555555556,9,18 days 00:00:00,75.69444444444444,20,40,8,2,5,0.05
515070.SH,combined,107.14667994,1.203585661620353,-22.76635324579329,47.05882352941176,17,27 days 00:00:00,65.4320987654321,20,40,10,2,5,0.05
159399.SZ,combined,6.18981237999993,0.5950194362565634,-6.225116373157514,62.5,8,27 days 00:00:00,84.7953216374269,16,32,12,2,5,0.05
159201.SZ,combined,11.087273699999969,0.9794983687234723,-7.165903923618133,45.45454545454545,11,19 days 00:00:00,82.45614035087719,8,32,8,2,5,0.05
588870.SH,combined,23.864859020000022,1.1511574674390617,-10.724067091683033,28.57142857142857,7,23 days 00:00:00,60.63829787234043,20,30,14,2,5,0.05
159366.SZ,combined,32.07423592000003,1.769868772471003,-9.432066172001885,50.0,4,31 days 00:00:00,62.142857142857146,18,34,14,2,5,0.05
589010.SH,combined,27.948661680000026,1.5701007917920182,-10.426826975229453,20.0,5,22 days 00:00:00,56.64335664335665,14,22,14,2,5,0.05
159922.SZ,combined,91.85606188000008,0.6673451007441756,-12.693938020766836,52.63157894736842,19,25 days 00:00:00,67.07818930041152,18,24,14,2,5,0.05
563800.SH,combined,13.054538419999972,0.8148268630012879,-6.833763894240475,42.857142857142854,14,23 days 00:00:00,89.87341772151899,18,38,14,2,5,0.05
159608.SZ,combined,27.36496998000004,0.6204491799819779,-20.23305504000702,56.25,16,25 days 00:00:00,56.17283950617284,20,40,14,2,5,0.05
159732.SZ,combined,38.09778025999995,0.6299472398459287,-27.94899398063976,47.82608695652174,23,19 days 00:00:00,63.16872427983539,16,40,10,2,5,0.05
159206.SZ,combined,15.539329579999993,0.8957205215283853,-12.423434837856718,50.0,10,19 days 00:00:00,76.25,10,34,6,2,5,0.05
520600.SH,combined,25.793396920000067,0.9582012263201325,-13.021138955575607,46.15384615384615,13,15 days 00:00:00,57.971014492753625,12,30,6,2,5,0.05
512980.SH,combined,13.649324940000044,0.3129628629818659,-22.712873425619563,40.0,15,23 days 00:00:00,48.35390946502058,20,40,12,2,5,0.05
510210.SH,combined,13.633210080000008,0.5514958559156714,-13.66603868038052,42.857142857142854,14,38 days 00:00:00,74.48559670781893,20,40,12,2,5,0.05
561160.SH,combined,156.53057090000019,1.3192949374905667,-17.39868541469788,57.89473684210527,19,33 days 00:00:00,86.21399176954732,10,38,12,2,5,0.07
516160.SH,combined,469.0557640199998,0.22389161406519603,-13.90995331557039,52.38095238095239,21,29 days 00:00:00,83.53909465020575,16,30,12,2,5,0.07
159566.SZ,combined,118.94982932,1.3652231074117402,-12.200145140819608,58.82352941176471,17,31 days 00:00:00,84.76190476190476,14,40,14,2,5,0.07
159783.SZ,combined,97.6935266,0.9883073104702155,-19.302123534055315,52.63157894736842,19,33 days 00:00:00,87.86008230452676,16,32,14,2,5,0.07
159715.SZ,combined,29.52684831999999,0.48428334322205896,-29.75568779752168,36.36363636363637,22,26 days 00:00:00,79.83539094650206,18,40,14,2,5,0.07
588170.SH,combined,1.2433444600000259,0.07992172400833458,-12.148343779999982,45.45454545454545,11,15 days 00:00:00,74.30555555555556,8,38,8,2,5,0.07
515070.SH,combined,98.84448863999998,1.139029190944543,-26.846956770323416,43.75,16,30 days 00:00:00,68.93004115226337,20,38,14,2,5,0.07
159399.SZ,combined,4.123865659999974,0.4044676872203915,-6.224972624922909,62.5,8,30 days 00:00:00,91.81286549707602,16,32,12,2,5,0.07
159201.SZ,combined,8.985613560000075,0.7284790037259137,-10.539607335936763,50.0,8,27 days 00:00:00,82.45614035087719,12,26,14,2,5,0.07
588870.SH,combined,23.819398740000054,0.9746373651502418,-10.248190427990966,38.46153846153847,13,18 days 00:00:00,81.38297872340425,10,38,6,2,5,0.07
159366.SZ,combined,15.955747020000036,0.9716108593300535,-14.711937507454154,40.0,5,27 days 00:00:00,65.71428571428571,18,34,14,2,5,0.07
589010.SH,combined,20.38823302000001,1.1955914582222265,-15.765830560442529,40.0,5,23 days 00:00:00,58.74125874125874,14,22,14,2,5,0.07
159922.SZ,combined,110.03448248000001,0.6788823313378913,-18.429007333138138,40.0,15,44 days 00:00:00,89.50617283950618,20,40,14,2,5,0.07
563800.SH,combined,13.075618279999945,0.804772246169775,-6.732152145763148,46.15384615384615,13,25 days 00:00:00,89.87341772151899,18,38,14,2,5,0.07
159608.SZ,combined,48.77248350000002,0.7347444199635005,-29.796599391282797,52.94117647058824,17,31 days 00:00:00,73.04526748971193,20,40,14,2,5,0.07
159732.SZ,combined,45.46176260000002,0.6935847517366106,-19.971521370158552,41.17647058823529,17,28 days 00:00:00,67.48971193415639,20,40,10,2,5,0.07
159206.SZ,combined,14.241669800000038,0.866158015756653,-14.676207166447519,60.0,5,32 days 00:00:00,70.0,20,30,14,2,5,0.07
520600.SH,combined,15.620757239999985,0.60877274656035,-11.877377974087377,66.66666666666666,9,22 days 00:00:00,62.31884057971014,18,36,6,2,5,0.07
512980.SH,combined,82.44075087999998,1.0042914018854692,-21.91076134196307,60.0,15,41 days 00:00:00,85.18518518518519,18,40,14,2,5,0.07
510210.SH,combined,38.87900315999994,0.9157828060411858,-12.915254530277265,64.28571428571429,14,49 days 00:00:00,91.76954732510289,20,40,14,2,5,0.07
561160.SH,combined,97.78342806000005,1.439019238469693,-14.570492309099325,57.14285714285714,21,20 days 00:00:00,62.96296296296296,10,24,12,2,10,0.03
516160.SH,combined,59.14048804000001,1.0119614762068316,-14.725705805908284,48.0,25,19 days 00:00:00,68.10699588477365,20,38,6,2,10,0.03
159566.SZ,combined,39.42286607999997,1.1200518741769914,-13.542113037909187,50.0,14,14 days 00:00:00,34.285714285714285,14,40,14,2,10,0.03
159783.SZ,combined,94.04778388000003,1.0659762088209979,-17.582425911486553,56.25,16,24 days 00:00:00,52.88065843621399,18,24,14,2,10,0.03
159715.SZ,combined,41.96774017999991,0.7155614385281526,-14.568172987509065,43.75,32,13 days 00:00:00,57.407407407407405,8,24,6,2,10,0.03
588170.SH,combined,7.463301079999947,0.4766058396806957,-15.338455564874886,57.14285714285714,7,17 days 00:00:00,56.25,20,40,14,2,10,0.03
515070.SH,combined,24.722177640000044,0.5741823607967014,-23.985407523741863,33.33333333333333,15,13 days 00:00:00,29.629629629629626,20,38,14,2,10,0.03
159399.SZ,combined,10.689593259999965,1.0612449837817692,-4.072812314282381,83.33333333333334,6,26 days 00:00:00,62.57309941520468,20,30,8,2,10,0.03
159201.SZ,combined,14.535051759999988,1.25625616715761,-6.698984786350371,57.14285714285714,7,23 days 00:00:00,66.08187134502924,12,26,14,2,10,0.03
588870.SH,combined,14.984157040000026,0.6462768048175999,-12.637753066038005,42.857142857142854,14,16 days 00:00:00,81.38297872340425,10,38,6,2,10,0.03
159366.SZ,combined,9.448249680000044,0.8690416557655543,-9.480250860988104,28.57142857142857,7,16 days 00:00:00,54.285714285714285,16,26,14,2,10,0.03
589010.SH,combined,20.797954720000018,1.1618849926459869,-8.848643523641597,40.0,10,12 days 00:00:00,58.74125874125874,10,20,6,2,10,0.03
