ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
159399.SZ,loss_protection,4.123865659999974,0.4044676872203915,-6.224972624922909,62.5,8,30 days 00:00:00,91.81286549707602,16,32,12,2,10,
159201.SZ,loss_protection,8.985613560000075,0.7284790037259137,-10.539607335936763,50.0,8,27 days 00:00:00,82.45614035087719,12,26,14,2,10,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,2,10,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,2,10,
589010.SH,loss_protection,25.52361034000003,1.0379746166037573,-24.110847059084072,50.0,4,28 days 00:00:00,55.94405594405595,14,22,14,2,10,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,2,10,
563800.SH,loss_protection,13.94988161999996,0.8409034949075304,-7.673159873534718,50.0,10,31 days 00:00:00,87.76371308016878,20,40,12,2,10,
159608.SZ,loss_protection,80.31473318000005,0.8665580932931752,-33.453012236293404,55.55555555555556,18,40 days 00:00:00,98.14814814814815,20,40,14,2,10,
159732.SZ,loss_protection,64.46600512000005,0.7705992596193544,-24.839193244551193,42.10526315789473,19,35 days 00:00:00,88.47736625514403,20,40,10,2,10,
159206.SZ,loss_protection,13.892250020000047,0.7339761574691451,-14.103432656890657,35.714285714285715,14,16 days 00:00:00,92.5,8,20,8,2,10,
520600.SH,loss_protection,21.959744360000023,0.7008325378775869,-21.574194212288546,66.66666666666666,9,28 days 00:00:00,80.67632850241546,10,30,14,2,10,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,2,10,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,2,10,
561160.SH,loss_protection,133.97747654000014,1.1168638094763093,-21.69191442778343,50.0,22,33 days 00:00:00,98.14814814814815,10,38,12,2,15,
516160.SH,loss_protection,528.3446958,0.23016495003864557,-17.46378502048004,57.89473684210527,19,38 days 00:00:00,97.53086419753086,16,32,12,2,15,
159566.SZ,loss_protection,104.04199413999994,1.1290951202726425,-15.05481382347046,58.82352941176471,17,36 days 00:00:00,94.52380952380952,18,36,12,2,15,
159783.SZ,loss_protection,109.77184043999996,0.9365714100039505,-23.8049835053426,56.25,16,44 days 00:00:00,95.26748971193416,16,30,14,2,15,
159715.SZ,loss_protection,37.83913155999986,0.5011784231471628,-33.11157815648759,34.78260869565217,23,31 days 00:00:00,95.88477366255144,18,40,14,2,15,
588170.SH,loss_protection,1.9867632999999842,0.10826998339490039,-21.641792898485257,33.33333333333333,12,17 days 00:00:00,88.88888888888889,8,22,6,2,15,
515070.SH,loss_protection,154.89214208000007,1.1955204847106866,-21.586725756875737,53.333333333333336,15,46 days 00:00:00,93.00411522633745,20,40,14,2,15,
159399.SZ,loss_protection,4.123865659999974,0.4044676872203915,-6.224972624922909,62.5,8,30 days 00:00:00,91.81286549707602,16,32,12,2,15,
159201.SZ,loss_protection,8.985613560000075,0.7284790037259137,-10.539607335936763,50.0,8,27 days 00:00:00,82.45614035087719,12,26,14,2,15,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,2,15,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,2,15,
589010.SH,loss_protection,25.52361034000003,1.0379746166037573,-24.110847059084072,50.0,4,28 days 00:00:00,55.94405594405595,14,22,14,2,15,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,2,15,
563800.SH,loss_protection,13.94988161999996,0.8409034949075304,-7.673159873534718,50.0,10,31 days 00:00:00,87.76371308016878,20,40,12,2,15,
159608.SZ,loss_protection,80.45281328000002,0.867510140508377,-33.453012236293404,58.82352941176471,17,42 days 00:00:00,96.09053497942386,20,40,14,2,15,
159732.SZ,loss_protection,23.88166241999996,0.3578173595447112,-24.66601263377084,44.18604651162791,43,17 days 00:00:00,95.67901234567901,8,20,6,2,15,
159206.SZ,loss_protection,16.81852907999999,0.8669399287185299,-12.300087361309442,46.15384615384615,13,18 days 00:00:00,96.875,8,20,8,2,15,
520600.SH,loss_protection,21.959744360000023,0.7008325378775869,-21.574194212288546,66.66666666666666,9,28 days 00:00:00,80.67632850241546,10,30,14,2,15,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,2,15,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,2,15,
561160.SH,loss_protection,133.97747654000014,1.1168638094763093,-21.69191442778343,50.0,22,33 days 00:00:00,98.14814814814815,10,38,12,2,20,
516160.SH,loss_protection,588.9033313,0.23623538553425183,-17.883885562633385,59.09090909090909,22,33 days 00:00:00,97.32510288065843,20,38,6,2,20,
159566.SZ,loss_protection,104.04199413999994,1.1290951202726425,-15.05481382347046,58.82352941176471,17,36 days 00:00:00,94.52380952380952,18,36,12,2,20,
159783.SZ,loss_protection,118.76691779999993,0.9796359908037195,-23.804890572562886,64.28571428571429,14,50 days 00:00:00,95.26748971193416,16,30,14,2,20,
159715.SZ,loss_protection,42.3325060399999,0.5461952978023197,-33.11168699246583,36.36363636363637,22,33 days 00:00:00,95.88477366255144,18,40,14,2,20,
588170.SH,loss_protection,6.858889899999976,0.34418524521248123,-16.485842491609404,30.0,10,17 days 00:00:00,78.47222222222221,10,40,14,2,20,
515070.SH,loss_protection,154.3552214000001,1.1957806587591282,-21.586725756875737,50.0,14,49 days 00:00:00,93.00411522633745,20,40,14,2,20,
159399.SZ,loss_protection,4.123865659999974,0.4044676872203915,-6.224972624922909,62.5,8,30 days 00:00:00,91.81286549707602,16,32,12,2,20,
159201.SZ,loss_protection,8.985613560000075,0.7284790037259137,-10.539607335936763,50.0,8,27 days 00:00:00,82.45614035087719,12,26,14,2,20,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,2,20,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,2,20,
589010.SH,loss_protection,25.52361034000003,1.0379746166037573,-24.110847059084072,50.0,4,28 days 00:00:00,55.94405594405595,14,22,14,2,20,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,2,20,
563800.SH,loss_protection,13.94988161999996,0.8409034949075304,-7.673159873534718,50.0,10,31 days 00:00:00,87.76371308016878,20,40,12,2,20,
159608.SZ,loss_protection,80.45281328000002,0.867510140508377,-33.453012236293404,58.82352941176471,17,42 days 00:00:00,96.09053497942386,20,40,14,2,20,
159732.SZ,loss_protection,40.39205351999997,0.5476363953575194,-19.94874364255226,37.03703703703704,27,25 days 00:00:00,91.35802469135803,20,40,6,2,20,
159206.SZ,loss_protection,17.236361519999992,0.8842436424582032,-12.300087361309442,41.66666666666667,12,20 days 00:00:00,96.875,8,20,8,2,20,
520600.SH,loss_protection,21.959744360000023,0.7008325378775869,-21.574194212288546,66.66666666666666,9,28 days 00:00:00,80.67632850241546,10,30,14,2,20,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,2,20,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,2,20,
561160.SH,loss_protection,118.03429090000009,1.041429503304007,-25.476040481235074,47.82608695652174,23,32 days 00:00:00,98.14814814814815,10,38,12,3,5,
516160.SH,loss_protection,594.81668302,0.23795977720776426,-15.387497009902074,57.14285714285714,21,35 days 00:00:00,97.53086419753086,16,30,12,3,5,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,3,5,
159783.SZ,loss_protection,100.98456409999999,0.8902881831982516,-23.804611421887923,53.333333333333336,15,47 days 00:00:00,95.26748971193416,16,30,14,3,5,
159715.SZ,loss_protection,48.948057759999934,0.6107013182763642,-33.112454636740395,41.66666666666667,24,30 days 00:00:00,95.88477366255144,20,36,14,3,5,
588170.SH,loss_protection,-7.385362300000034,-0.4510969634749934,-21.772824232351862,62.5,8,20 days 00:00:00,75.0,20,40,8,3,5,
515070.SH,loss_protection,130.21729692000002,1.0909489617297656,-27.489234104173775,41.17647058823529,17,41 days 00:00:00,93.00411522633745,20,40,14,3,5,
159399.SZ,loss_protection,4.558335199999928,0.43661419462300144,-7.582841172870836,37.5,8,30 days 00:00:00,93.56725146198829,18,40,14,3,5,
159201.SZ,loss_protection,8.590488799999967,0.7689384364414302,-8.863784671332409,41.66666666666667,12,19 days 00:00:00,88.30409356725146,8,32,8,3,5,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,3,5,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,3,5,
589010.SH,loss_protection,24.309669600000017,1.0049732338971527,-23.987519263776523,50.0,4,29 days 00:00:00,56.64335664335665,16,22,14,3,5,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,3,5,
563800.SH,loss_protection,7.61348419999993,0.49471431745073013,-7.04358462337995,42.857142857142854,14,23 days 00:00:00,89.87341772151899,18,38,12,3,5,
159608.SZ,loss_protection,78.32711983999998,0.8558942669813255,-34.3153725851913,55.55555555555556,18,40 days 00:00:00,97.32510288065843,20,40,14,3,5,
159732.SZ,loss_protection,64.46600512000005,0.7705992596193544,-24.839193244551193,42.10526315789473,19,35 days 00:00:00,88.47736625514403,20,40,10,3,5,
159206.SZ,loss_protection,11.043094159999981,0.6068499375215626,-14.779232465843005,50.0,6,29 days 00:00:00,73.75,20,40,14,3,5,
520600.SH,loss_protection,20.837482900000033,0.666537089886311,-19.511768858921908,54.54545454545454,11,25 days 00:00:00,84.54106280193237,18,36,6,3,5,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,3,5,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,3,5,
561160.SH,loss_protection,116.80096288000004,1.0255383581619701,-22.91227308347159,42.857142857142854,28,26 days 00:00:00,98.14814814814815,10,24,12,3,10,
516160.SH,loss_protection,594.81668302,0.23795977720776426,-15.387497009902074,57.14285714285714,21,35 days 00:00:00,97.53086419753086,16,30,12,3,10,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,3,10,
159783.SZ,loss_protection,100.98456409999999,0.8902881831982516,-23.804611421887923,53.333333333333336,15,47 days 00:00:00,95.26748971193416,16,30,14,3,10,
159715.SZ,loss_protection,48.948057759999934,0.6107013182763642,-33.112454636740395,41.66666666666667,24,30 days 00:00:00,95.88477366255144,20,36,14,3,10,
588170.SH,loss_protection,-6.324160520000005,-0.3982997379159584,-21.64030673498265,33.33333333333333,15,13 days 00:00:00,88.88888888888889,8,22,6,3,10,
515070.SH,loss_protection,91.79724180000008,0.8863898542008452,-33.2053518369245,37.5,16,43 days 00:00:00,93.00411522633745,20,40,14,3,10,
159399.SZ,loss_protection,4.558335199999928,0.43661419462300144,-7.582841172870836,37.5,8,30 days 00:00:00,93.56725146198829,18,40,14,3,10,
159201.SZ,loss_protection,9.468640199999955,0.8382794702175833,-9.355629256927301,46.15384615384615,13,19 days 00:00:00,94.73684210526315,10,22,6,3,10,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,3,10,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,3,10,
589010.SH,loss_protection,24.309669600000017,1.0049732338971527,-23.987519263776523,50.0,4,29 days 00:00:00,56.64335664335665,16,22,14,3,10,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,3,10,
563800.SH,loss_protection,7.164180900000028,0.4606629880538629,-11.85816822292386,33.33333333333333,12,26 days 00:00:00,88.18565400843882,20,38,14,3,10,
159608.SZ,loss_protection,78.32711983999998,0.8558942669813255,-34.3153725851913,55.55555555555556,18,40 days 00:00:00,97.32510288065843,20,40,14,3,10,
159732.SZ,loss_protection,69.93725363999998,0.810235079379306,-24.839193244551193,45.0,20,33 days 00:00:00,88.47736625514403,18,40,12,3,10,
159206.SZ,loss_protection,12.30763904000003,0.6488860686198153,-17.711491190408722,40.0,15,16 days 00:00:00,96.875,8,20,8,3,10,
520600.SH,loss_protection,16.807464759999984,0.5627883792689107,-22.658856796551895,60.0,10,25 days 00:00:00,81.64251207729468,10,30,14,3,10,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,3,10,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,3,10,
561160.SH,loss_protection,116.80096288000004,1.0255383581619701,-22.91227308347159,42.857142857142854,28,26 days 00:00:00,98.14814814814815,10,24,12,3,15,
516160.SH,loss_protection,594.81668302,0.23795977720776426,-15.387497009902074,57.14285714285714,21,35 days 00:00:00,97.53086419753086,16,30,12,3,15,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,3,15,
159783.SZ,loss_protection,100.98456409999999,0.8902881831982516,-23.804611421887923,53.333333333333336,15,47 days 00:00:00,95.26748971193416,16,30,14,3,15,
159715.SZ,loss_protection,66.56458983999994,0.7848074818388082,-16.840026940958474,37.93103448275862,29,25 days 00:00:00,95.67901234567901,20,40,6,3,15,
